season_number,episode_number,episode_id,user_id,uuid,vote_key,series_name
2,12,6247595,21667900,a5b7f7fa-db53-41cc-bda7-806cc8e488f6,6247595-21667900-3,The Good Place
2,12,6247595,21667900,a5b7f7fa-db53-41cc-bda7-806cc8e488f6,6247595-21667900-5,The Good Place
2,12,6247595,21667900,a5b7f7fa-db53-41cc-bda7-806cc8e488f6,6247595-21667900-29,The Good Place
1,1,6297940,21667900,2520f1da-075e-4f51-8c81-44bffcb7d030,6297940-21667900-19,Howards End
1,2,6297941,21667900,9437be54-e993-4d37-aafe-91fb2138bfde,6297941-21667900-18,Howards End
1,3,6297942,21667900,381e1694-9ad5-4871-9dbf-182b94d40ed3,6297942-21667900-18,Howards End
1,4,6297943,21667900,a3cdba3b-6adf-4982-840f-4b066e1a7568,6297943-21667900-18,Howards End
1,2,6352961,21667900,75be05f0-9c02-4b5f-bed0-c5bccc58f35c,6352961-21667900-3,Babylon Berlin
1,3,6352962,21667900,b2e628c8-fea7-4487-8dc7-a96eb3901910,6352962-21667900-29,Babylon Berlin
1,3,6352962,21667900,b2e628c8-fea7-4487-8dc7-a96eb3901910,6352962-21667900-5,Babylon Berlin
1,11,6468119,21667900,29492193-19f4-46ce-8c00-158b0f0b31bf,6468119-21667900-20,Money Heist
2,14,6485190,21667900,4183052c-1421-4115-af1a-b8465cb7d3f1,6485190-21667900-29,This Is Us
2,14,6504114,21667900,b824890b-7138-4e16-9dd2-e9e199d62c98,6504114-21667900-3,The Seven Deadly Sins
2,20,6504120,21667900,d59b9863-83b5-44fe-9b21-4fbf289122fe,6504120-21667900-3,The Seven Deadly Sins
1,4,6545669,21667900,a1d934a5-6cf9-428d-b93e-bbea1b466fbc,6545669-21667900-3,Tom Clancy's Jack Ryan
3,24,6578537,21667900,e665f1a9-9cbd-46fb-86ae-ff9fc99d812f,6578537-21667900-3,Lucifer
1,8,6605072,21667900,50046d0b-f530-4e29-a3b6-ff196cfa5f7c,6605072-21667900-20,My Brilliant Friend
4,1,6646752,21667900,e709fd39-71bc-485b-9ac1-db88c968d5dc,6646752-21667900-20,Poldark (2015)
3,25,6706090,21667900,b77fb159-43a6-4475-91ad-955b41e0d701,6706090-21667900-29,Lucifer
4,2,6710020,21667900,c772f3d5-4587-4033-bded-55b61d87a934,6710020-21667900-19,Poldark (2015)
1,1,6733508,21667900,ddaee549-d459-4cc2-a14b-be4133b856e7,6733508-21667900-20,Bodyguard (2018)
1,3,6733510,21667900,3b764d86-1885-4fd0-aa6a-766dc6e0f0f2,6733510-21667900-20,Bodyguard (2018)
2,1,6735146,21667900,6fe7a22a-5966-4e0c-b932-a3620b672ca9,6735146-21667900-29,Ozark
1,1,6765383,21667900,b032c43f-91b3-424f-8794-6c2a3ff43166,6765383-21667900-19,The Little Drummer Girl
1,2,6765384,21667900,b2ece8d7-1f3f-4bc2-b7e8-e013dd60bda9,6765384-21667900-19,The Little Drummer Girl
1,3,6765385,21667900,c7a248bc-9887-414e-8305-bda11f95c2a0,6765385-21667900-20,The Little Drummer Girl
1,5,6765387,21667900,fc7f7f85-2f6a-49ff-87e3-a2d660226352,6765387-21667900-20,The Little Drummer Girl
1,6,6765388,21667900,108644c4-f72f-4239-941b-85aeb1b17ceb,6765388-21667900-20,The Little Drummer Girl
3,1,6768101,21667900,956d8e8e-74e4-4a35-b198-708df4f2dc70,6768101-21667900-19,The Man in the High Castle
1,1,6770149,21667900,ef00df11-90f0-49d8-9798-3a4932dd859d,6770149-21667900-19,Escape at Dannemora
2,5,6778619,21667900,67c2a5db-2c9d-42c5-b848-e84eba7e3bf4,6778619-21667900-3,Ozark
2,7,6778622,21667900,8c51acb4-94de-4050-b917-6c8da0de78ea,6778622-21667900-3,Ozark
4,1,6783481,21667900,ebc2685c-c11d-4b6b-ad66-79b5765fa886,6783481-21667900-3,Lucifer
