episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
5471290,2021-06-20 17:03:34,2,3,21667900,64401464,2021-06-20 17:03:34,,Marvel's Daredevil
5481550,2019-07-07 10:13:52,1,2,21667900,64620567,2019-07-07 10:13:52,,The Night Manager
5481551,2019-07-08 11:03:56,1,3,21667900,64620567,2019-07-08 11:03:54,,The Night Manager
5481552,2019-07-08 12:06:18,1,4,21667900,64620567,2019-07-08 12:06:18,,The Night Manager
5481553,2019-07-09 12:06:09,1,5,21667900,64620567,2019-07-09 12:06:09,,The Night Manager
5481554,2019-07-09 16:27:51,1,6,21667900,64620567,2019-07-09 16:27:51,,The Night Manager
5506131,2024-05-08 03:01:09,2,2,21667900,65235978,2024-05-08 03:01:05,,Better Call Saul
5506132,2024-05-08 03:53:19,2,3,21667900,65235974,2024-05-08 03:53:19,,Better Call Saul
5537897,2024-05-08 19:42:56,2,5,21667900,65235964,2024-05-08 19:42:56,,Better Call Saul
5538565,2024-05-08 20:29:39,2,6,21667900,65235978,2024-05-08 20:29:39,,Better Call Saul
5551774,2024-05-09 03:03:49,2,7,21667900,65235974,2024-05-09 03:03:49,,Better Call Saul
5577096,2018-12-11 06:15:51,2,1,21667900,64607387,2018-12-11 06:15:51,,The Man in the High Castle
5586358,2019-08-03 06:24:57,1,1,21667900,64075655,2019-08-03 06:24:57,,The Night Of
5606328,2021-11-16 11:26:56,3,1,21667900,63359249,2021-11-16 11:26:56,,The Leftovers
5624260,2019-01-17 12:15:15,6,9,21667900,63976230,2019-01-17 12:15:15,,Game of Thrones
5624261,2018-11-08 11:26:25,6,10,21667900,63976219,2018-11-08 11:26:25,,Game of Thrones
5648788,2019-06-11 03:44:27,1,1,21667900,63324809,2019-06-11 03:44:27,,The Good Place
5648842,2019-08-03 08:58:37,1,2,21667900,64075655,2019-08-03 08:58:37,,The Night Of
5648843,2019-08-03 10:40:06,1,3,21667900,64075655,2019-08-03 10:40:06,,The Night Of
5648844,2019-08-03 12:01:50,1,4,21667900,64075655,2019-08-03 12:01:50,,The Night Of
5649281,2019-06-11 03:45:19,1,2,21667900,63324809,2019-06-11 03:45:19,,The Good Place
5649282,2019-06-11 04:10:51,1,3,21667900,63324809,2019-06-11 04:10:51,,The Good Place
5657622,2019-08-03 13:19:15,1,5,21667900,64075643,2019-08-03 13:19:15,,The Night Of
5657623,2019-08-03 15:47:32,1,6,21667900,64075643,2019-08-03 15:47:32,,The Night Of
5657624,2019-08-03 16:41:49,1,7,21667900,64075643,2019-08-03 16:41:45,,The Night Of
5657625,2019-08-04 06:04:09,1,8,21667900,64075643,2019-08-04 06:04:09,,The Night Of
5671265,2018-12-25 05:08:23,2,1,21667900,64577211,2018-12-25 05:08:23,,Poldark (2015)
5692427,2020-11-20 12:58:42,3,1,21667900,388451,2020-11-20 12:58:42,,Black Mirror
5692430,2020-11-20 13:00:00,3,2,21667900,398011,2020-11-20 12:59:58,,Black Mirror
5714320,2018-11-24 09:53:19,1,2,21667900,64592390,2018-11-24 09:53:19,,Victoria
5722831,2018-12-11 16:22:15,2,3,21667900,64607396,2018-12-11 16:22:07,,The Man in the High Castle
